date,gz_spread,ebp,est_prob
01/09/2006,1.825991872,-0.357458466,0.115832952
01/10/2006,1.719249695,-0.391251391,0.108370184
01/11/2006,1.709726099,-0.360985326,0.115037449
01/12/2006,1.597988082,-0.48704909,0.08910851
01/01/2007,1.503729452,-0.550998198,0.077748867
01/02/2007,1.542073005,-0.552173711,0.077550857
01/03/2007,1.603160541,-0.370955338,0.112809694
01/04/2007,1.574582667,-0.370975524,0.112805215
01/05/2007,1.481772816,-0.58397837,0.072337685
01/06/2007,1.645563713,-0.37262197,0.112440318
01/07/2007,2.156796359,0.031230333,0.227949994
01/08/2007,2.307004005,0.146121989,0.270115555
01/09/2007,2.273931782,0.078791093,0.244941348
01/10/2007,2.206177246,-0.008106405,0.214412591
01/11/2007,2.787618,0.341839254,0.349881381
01/12/2007,2.873593636,0.488827761,0.414770148
01/01/2008,3.297543249,0.724013614,0.522836132
01/02/2008,3.574842413,0.927288497,0.615183338
01/03/2008,3.802370678,1.153086442,0.710394921
01/04/2008,3.293417296,0.675667789,0.50049609
01/05/2008,3.135897048,0.679119054,0.502091761
01/06/2008,3.469489891,0.823600271,0.568551291
01/07/2008,3.708569226,1.082939413,0.681980172
01/08/2008,3.817270861,1.230320954,0.740227935
01/09/2008,4.821059589,1.809141023,0.905721657
01/10/2008,7.209112199,3.513032602,0.999498268
01/11/2008,7.9237943,3.308325626,0.998864572
01/12/2008,7.728687715,3.46005176,0.999377037
01/01/2009,6.437825411,2.865858895,0.994449828
01/02/2009,6.260474692,3.229165855,0.998464657
01/03/2009,6.362375539,2.79401789,0.992980524
01/04/2009,5.460702032,2.267063167,0.967522013
01/05/2009,4.860686524,1.395261374,0.798198246
01/06/2009,4.227229035,0.961897525,0.630419284
01/07/2009,3.612007511,0.357934416,0.356814152
01/08/2009,3.388098293,0.089122127,0.248720246
01/09/2009,3.018480832,0.068449974,0.241189918
01/10/2009,2.896978661,-0.137393232,0.173342659
01/11/2009,2.895269931,-0.00906239,0.214089523
01/12/2009,2.453168537,-0.468919184,0.092543486
01/01/2010,2.446470875,-0.202921856,0.154581166
01/02/2010,2.48306557,-0.007387393,0.214655762
01/03/2010,2.268883865,-0.16245298,0.166003146
01/04/2010,2.159630913,-0.27467987,0.13563472
01/05/2010,2.624810522,-0.120315997,0.178460796
01/06/2010,2.757918782,0.048297587,0.233969878
01/07/2010,2.596292543,0.163787034,0.276928315
01/08/2010,2.746914909,-0.276854474,0.135086533
01/09/2010,2.583553224,-0.011765816,0.213177456
01/10/2010,2.450000944,-0.025996479,0.208413897
01/11/2010,2.453678923,-0.14591239,0.170824716
01/12/2010,2.257623037,-0.413133358,0.103726154
01/01/2011,2.147445327,-0.038075272,0.20442035
01/02/2011,2.035437264,-0.280908427,0.13406865
01/03/2011,2.000781907,-0.319786208,0.124574466
01/04/2011,2.01320059,-0.275043076,0.135543055
01/05/2011,2.10066935,-0.151809999,0.169095385
01/06/2011,2.192389846,-0.03014136,0.207038339
01/07/2011,2.258796955,-0.074379705,0.192694484
01/08/2011,2.870677541,-0.095830271,0.185963524
01/09/2011,3.1585637,0.450867274,0.397707761
01/10/2011,2.845028163,-0.081228992,0.190529247
01/11/2011,3.035140165,0.507379566,0.423169794
01/12/2011,2.91630163,0.282584141,0.324801664
01/01/2012,2.795575459,0.180039891,0.283269863
01/02/2012,2.542406446,0.050880459,0.234888508
01/03/2012,2.469721278,-0.340111484,0.119802513
01/04/2012,2.562206842,-0.168534717,0.164252655
01/05/2012,2.838229436,-0.071056445,0.193750449
01/06/2012,2.786785336,0.162510937,0.276433366
01/07/2012,2.636847714,-0.008199599,0.214381084
01/08/2012,2.563107787,-0.206795637,0.153515734
01/09/2012,2.438754832,-0.155429515,0.168039636
01/10/2012,2.27893203,-0.185103448,0.159544678
01/11/2012,2.375013016,-0.054918211,0.198928348
01/12/2012,2.267702702,-0.1703746,0.163725453
01/01/2013,2.145410111,-0.104793167,0.183194781
01/02/2013,2.194011581,-0.043750472,0.202559826
01/03/2013,2.169694678,-0.1083422,0.182105587
01/04/2013,2.109055792,-0.136108274,0.173724485
01/05/2013,2.018734315,-0.500025402,0.086708851
01/06/2013,2.195241544,-0.353217712,0.11679464
01/07/2013,2.069299195,-0.024590918,0.208881581
01/08/2013,2.041389173,-0.130135852,0.175506209
